study_id,year,doi,modalidad,title,stage_primary,stage_norm,q2_candidate_abstract,q2_candidate_terms,AI_task_type,notes_coding,integration_approach,integration_trace,decision_timing,decision_timing_trace,review_trace
158,2022,https://doi.org/10.1007/978-3-031-13844-7_33,No especificado,Graph Convolutional Networks Based on\&#xa0;Relational Attention Mechanism for\&#xa0;Autism Spectrum Disorders Diagnosis,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
161,2025,https://doi.org/10.1038/s41598-025-96014-6,Imagen,Leveraging artificial intelligence for diagnosis of children autism through facial expressions,Screening,Screening,,,Classification (ASD vs control / multi-class),Diagnóstico por expresiones faciales; abstract no especifica claramente una arquitectura del codebook.,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
163,2020,https://doi.org/10.1155/2020/1357853,Imagen,Multichannel Deep Attention Neural Networks for the Classification of Autism Spectrum Disorder Using Neuroimaging and Personal Characteristic Data,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
166,2020,https://doi.org/10.1108/LHT-08-2019-0176,Imagen,Research and development of autism diagnosis information system based on deep convolution neural network and facial expression data,Screening,Screening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
168,2023,https://doi.org/10.1145/3539226,Imagen,Stratification of Children with Autism Spectrum Disorder Through Fusion of Temporal Information in Eye-gaze Scan-Paths,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Estratificación de niños con ASD usando trayectorias de eye-gaze; confirmar si el objetivo es subtipado vs clasificación.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
169,2022,https://doi.org/10.2196/33771,Imagen,The Classification of Abnormal Hand Movement to Aid in Autism Detection: Machine Learning Study,Screening,Screening,,,Classification (ASD vs control / multi-class),,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
170,2020,https://doi.org/10.2196/15767,Imagen,The development of a practical artificial intelligence tool for diagnosing and evaluating autism spectrum disorder: Multicenter study,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
171,2016,https://doi.org/10.1038/srep31107,Señales fisiológicas,Toward the Autism Motor Signature: Gesture patterns during smart tablet gameplay identify children with autism,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
173,2023,https://doi.org/10.1111/JCPP.13650,Texto · NLP,Using machine learning to improve diagnostic assessment of ASD in the light of specific differential and co-occurring diagnoses,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
174,2023,https://doi.org/10.3233/SHTI230734,Imagen,A Framework to Diagnose Autism Spectrum Disorder Using Morphological Connectivity of sMRI and XGBoost,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
175,2023,https://doi.org/10.1038/s41598-023-40073-0,No especificado,A machine learning approach for understanding the metabolomics response of children with autism spectrum disorder to medical cannabis treatment,Monitoring/intervention,Monitoring/intervention,,,Other / Not clear,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
177,2024,https://doi.org/10.1007/978-981-99-8141-0_12,No especificado,Aided Diagnosis of\&#xa0;Autism Spectrum Disorder Based on\&#xa0;a\&#xa0;Mixed Neural Network Model,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
179,2019,https://doi.org/10.2174/2666082215666191111121115,Imagen,Autism spectrum disorder detection with machine learning methods,Screening,Screening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
180,2024,https://doi.org/10.1016/j.compbiomed.2024.108194,Señales fisiológicas,Biosignal comparison for autism assessment using machine learning models and virtual reality,Screening,Screening,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
184,2021,https://doi.org/10.1016/j.bpsc.2020.09.001,Imagen,Computerized Assessment of Motor Imitation as a Scalable Method for Distinguishing Children With Autism,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
185,2025,https://doi.org/10.1016/j.procs.2025.05.032,Imagen,Construction of ASD Intervention System Based On Neural Network Model,Monitoring/intervention,Monitoring/intervention,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
186,2024,https://doi.org/10.1016/j.jneumeth.2024.110100,Señales fisiológicas,Decoding Autism: Uncovering patterns in brain connectivity through sparsity analysis with rs-fMRI data,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
188,2020,https://doi.org/10.3390/s20236762,Audio · Voz,Deep-learning-based detection of infants with autism spectrum disorder using auto-encoder feature representation,Screening,Screening,,,Classification (ASD vs control / multi-class),Autoencoder para detección en infantes; confirmar fuente de datos exacta (no totalmente explícita en el abstract).,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
189,2024,https://doi.org/10.1016/j.jad.2024.04.049,Imagen,Early identification of autism spectrum disorder based on machine learning with eye-tracking data,Screening,Screening,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
197,2022,https://doi.org/10.1155/2022/9410222,Texto · NLP,Hybrid Diagnosis Models for Autism Patients Based on Medical and Sociodemographic Features Using Machine Learning and Multicriteria Decision-Making (MCDM) Techniques: An Evaluation and Benchmarking Framework,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
198,2025,https://doi.org/10.1088/1742-6596/1921/1/012006/META,No especificado,Identification of autism spectrum disorder using deep neural network,Not clear,Not specified,,,Other / Not clear,Parece revisión de métodos/diagnósticos digitales más que estudio empírico primario.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
200,2024,https://doi.org/10.1007/s11042-024-18519-y,No especificado,Machine learning based autism screening tool—a modified approach,Screening,Screening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
201,2025,https://doi.org/10.1155/ACIS/9975499,Señales fisiológicas,Machine Learning–Based Approach for Early Screening of Autism Spectrum Disorders,Screening,Screening,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
202,2024,https://doi.org/10.1038/s41598-024-76659-5,Señales fisiológicas,Model selection to achieve reproducible associations between resting state EEG features and autism,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
205,2024,https://doi.org/10.1109/JBHI.2024.3455942,Imagen,Off-Body Sleep Analysis for Predicting Adverse Behavior in Individuals With Autism Spectrum Disorder,Monitoring/intervention,Monitoring/intervention,,,Prediction (time-to-event / prognosis),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
209,2024,https://doi.org/10.1016/j.pscychresns.2024.111822,Multimodal,Predicting individual autistic symptoms for patients with autism spectrum disorder using interregional morphological connectivity,Monitoring/intervention,Monitoring/intervention,,,Regression (score / severity / risk),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
210,2023,https://doi.org/10.1016/j.bpsc.2021.08.009,Señales fisiológicas,Prediction of Behavioral Improvement Through Resting-State Electroencephalography and Clinical Severity in a Randomized Controlled Trial Testing Bumetanide in Autism Spectrum Disorder,Monitoring/intervention,Monitoring/intervention,,,Prediction (time-to-event / prognosis),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
213,2015,https://doi.org/10.1016/j.cortex.2014.08.011,Señales fisiológicas,Resting state functional magnetic resonance imaging and neural network classified autism and control,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
218,2022,https://doi.org/10.1007/s13042-022-01554-2,Imagen,Using a small dataset to classify strength-interactions with an elastic display: a case study for the screening of autism spectrum disorder,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
221,2023,https://doi.org/10.1186/S12859-023-05501-Y,No especificado,A hybrid Stacking-SMOTE model for optimizing the prediction of autistic genes,Diagnosis,Diagnosis,,,Prediction (time-to-event / prognosis),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
222,2021,https://doi.org/10.1002/AUR.2595,Imagen,An amygdala-centered hyper-connectivity signature of threatening face processing predicts anxiety in youths with autism spectrum conditions,Monitoring/intervention,Monitoring/intervention,,,Prediction (time-to-event / prognosis),Usa fMRI de procesamiento de amenaza para predecir ansiedad en jóvenes con ASC.,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
225,2019,https://doi.org/10.1007/s10803-018-3690-y,Imagen,Applying Eye Tracking to Identify Autism Spectrum Disorder in Children,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
226,2023,https://doi.org/10.1016/j.compeleceng.2023.108720,Imagen,Artificial intelligence and sensor-based autism spectrum disorder diagnosis using brain connectivity analysis,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
230,2024,https://doi.org/10.1007/978-3-031-72069-7_6,Señales fisiológicas,BrainWaveNet: Wavelet-based Transformer for Autism Spectrum Disorder Diagnosis,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
231,2024,https://doi.org/10.1002/ar.25332,Imagen,Can lung airway geometry be used to predict autism? A preliminary machine learning-based study,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
234,2023,https://doi.org/10.1007/978-3-031-45389-2_18,Imagen,Classification of\&#xa0;Facial Images to\&#xa0;Assist in\&#xa0;the\&#xa0;Diagnosis of\&#xa0;Autism Spectrum Disorder: A Study on\&#xa0;the\&#xa0;Effect of\&#xa0;Face Detection and\&#xa0;Landmark Identification Algorithms,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
236,2025,https://doi.org/10.1038/s41598-025-97313-8,No especificado,Correlations between blood group and Rh factor in families and autism spectrum disorder: A comprehensive analysis,Not clear,Not specified,,,Classification (ASD vs control / multi-class),Análisis de grupos sanguíneos con regresión logística/ML no claramente central para una etapa clínica RQ1.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
237,2022,https://doi.org/10.1371/journal.pone.0269637,Audio · Voz,Cross-linguistic patterns of speech prosodic differences in autism: A machine learning study,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
240,2022,https://doi.org/10.1142/S0129065722500460,Imagen,Diagnosis of Autism Disorder Based on Deep Network Trained by Augmented EEG Signals,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
241,2018,https://doi.org/10.1016/j.nicl.2018.01.014,Señales fisiológicas,Differences in atypical resting-state effective connectivity distinguish autism from schizophrenia,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
246,2021,https://doi.org/10.1016/B978-0-12-822822-7.00009-0,No especificado,Exploring tree-based machine learning methods to predict autism spectrum disorder,Screening,Screening,,,Prediction (time-to-event / prognosis),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
249,2015,https://doi.org/10.1111/jon.12280,Imagen,Gray Matter Alterations in Young Children with Autism Spectrum Disorders: Comparing Morphometry at the Voxel and Regional Level,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
250,2022,https://doi.org/10.1016/j.compbiomed.2022.105854,Señales fisiológicas,Identification of Autism spectrum disorder based on a novel feature selection method and Variational Autoencoder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
251,2023,https://doi.org/10.1038/s41398-023-02662-5,Señales fisiológicas,Integrative analysis of long noncoding RNAs dysregulation and synapse-associated ceRNA regulatory axes in autism,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Análisis integrativo de lncRNA/ceRNA sin algoritmo de IA clínico principal claramente reportado.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
253,2024,https://doi.org/10.1016/j.irbm.2024.100838,Señales fisiológicas,Interpersonal Motor Coordination in Children with Autism and the Establishment of Machine Learning Models to Objectively Classify Children with Autism and Typical Development,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
255,2025,https://doi.org/10.1109/TNSRE.2025.3580593,Señales fisiológicas,LSTA-CNN: A Lightweight Spatiotemporal Attention-Based Convolutional Neural Network for ASD Diagnosis Using EEG,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
258,2025,https://doi.org/10.1038/s41598-025-09862-7,Señales fisiológicas,MDNCT: a multi-domain neurocognitive transformer architecture approach for early prediction of autism spectrum disorders,Screening,Screening,,,Classification (ASD vs control / multi-class),Arquitectura transformer multi-domain para predicción temprana; fuente de datos específica no es explícita en el abstract.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
260,2024,https://doi.org/10.1007/978-981-99-8558-6_38,No especificado,Multi-atlas Representations Based on\&#xa0;Graph Convolutional Networks for\&#xa0;Autism Spectrum Disorder Diagnosis,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
266,2025,https://doi.org/10.1016/j.envint.2025.109562,No especificado,Prenatal exposure to criteria air pollution and traffic-related air toxics and risk of autism spectrum disorder: A population-based cohort study of California births (1990–2018),Not clear,Not specified,,,Other / Not clear,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
270,2020,https://doi.org/10.1016/j.medengphy.2020.07.004,Señales fisiológicas,Smart bed based daytime behavior prediction in Children with autism spectrum disorder - A Pilot Study,Monitoring/intervention,Monitoring/intervention,,,Prediction (time-to-event / prognosis),Predice conducta diurna a partir de señales BCG de smart bed; SVM y ANN comparados.,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
271,2025,https://doi.org/10.1111/EXSY.13545,No especificado,Stakeholder perception towards a machine-learning-based digital platform for detection and management of autism spectrum disorder,Not clear,Not specified,,,Other / Not clear,Algoritmo principal no explícito o fuera del codebook; Resumen sugiere revisión/comentario/sistema no claramente empírico,Adaptive intervention,Keyword rule matched adaptive intervention workflow,Post-decision,Approach maps directly to post-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
273,2021,https://doi.org/10.1007/978-3-030-86993-9_36,No especificado,Towards autism subtype detection through identification of discriminatory factors using machine learning,Diagnosis,Diagnosis,,,Clustering / subtyping,Genera subtipos con k-means a partir de Q-CHAT/AQ-10; clasificadores posteriores son secundarios.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
274,2022,https://doi.org/10.3390/s22072528,Texto · NLP,‘IoT and AI-Based Application for Automatic Interpretation of the Affective State of Children Diagnosed with Autism,Monitoring/intervention,Monitoring/intervention,,,Classification (ASD vs control / multi-class),,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
276,2014,https://doi.org/10.1016/j.eswa.2014.05.011,Señales fisiológicas,A situation-aware system for the detection of motion disorders of patients with Autism Spectrum Disorders,Monitoring/intervention,Monitoring/intervention,,,Detection / segmentation,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
277,2023,https://doi.org/10.1093/cercor/bhad125,Imagen,Accurate corresponding fiber tract segmentation via FiberGeoMap learner with application to autism,Diagnosis,Diagnosis,,,Detection / segmentation,Segmentación de tractos de difusión; algoritmo FiberGeoMap fuera del codebook.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
278,2017,https://doi.org/10.1186/S12911-017-0564-8,Imagen,Autism risk classification using placental chorionic surface vascular network features,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
279,2022,https://doi.org/10.1002/CPE.6498,No especificado,Autism spectrum disorder detection using sequential minimal optimization-support vector machine hybrid classifier according to history of jaundice and family autism in children,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
280,2023,https://doi.org/10.1016/j.jneumeth.2023.109901,Multimodal,Classification of autism based on short-term spontaneous hemodynamic fluctuations using an adaptive graph neural network,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
281,2022,https://doi.org/10.3390/ijerph191912857,Imagen,Deep Mobile Linguistic Therapy for Patients with ASD,Monitoring/intervention,Monitoring/intervention,,,Other / Not clear,Sistema de terapia lingüística móvil; no corresponde a una tarea diagnóstica clásica.,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
282,2023,https://doi.org/10.1186/s12859-023-05378-x,Texto · NLP,DeepASDPred: a CNN-LSTM-based deep learning method for Autism spectrum disorders risk RNA identification,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),Predicción de RNAs de riesgo ASD con arquitectura CNN-LSTM; se marca prescreening/risk.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
286,2022,https://doi.org/10.1111/EXSY.13040,Señales fisiológicas,Feedback Artificial Tree-Anti Corona Virus Optimization enabled deep learning for detecting autism spectrum disorder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),fMRI con ROI extraction + deep residual network optimizada; se codifica CNN/DRN como algoritmo principal.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
287,2020,https://doi.org/10.1038/s41598-020-61288-5,No especificado,Forecasting risk gene discovery in autism with machine learning and genome-scale data,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,Pre-decision,Second-reader pattern was re-routed to pre-decision by text cue,q2_abstract_bool=missing; q2_terms_bool=missing
288,2022,https://doi.org/10.1007/s10803-021-05179-2,Señales fisiológicas,Identifying Autism with Head Movement Features by Implementing Machine Learning Algorithms,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
289,2019,https://doi.org/10.1016/j.neuro.2018.11.015,No especificado,Increased serum levels of macrophage migration inhibitory factor in autism spectrum disorders,Diagnosis,Diagnosis,,,Regression (score / severity / risk),Etapa clínica no clara,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
292,2015,https://doi.org/10.1186/1755-8794-8-S1-S7,No especificado,Performance of case-control rare copy number variation annotation in classification of autism,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Clasificación basada en rare CNV; conditional inference forest rinde mejor.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
300,2024,https://doi.org/10.1007/978-3-031-62273-1_36,Señales fisiológicas,Application of Speech Signal for Early Screening of Children with Autism Spectrum Disorder,Screening,Screening,,,Classification (ASD vs control / multi-class),Abstract faltante; se codifica solo por el título y requiere verificación en full-text.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
