study_id,title,year,doi,assigned_to,source_file,source_modality_display,stage_assignments_display,stage_assignment_origin,ai_method_display,algorithm_display_raw,notes_issue_tags,notes_coding
94,Optimizing a de novo artificial intelligence-based medical device under a predetermined change control plan: Improved ability to detect or rule out pediatric autism,2023,https://doi.org/10.1016/j.ibmed.2023.100102,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Screening,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
111,On the Utility of Parents' Historical Data to Investigate the Causes of Autism Spectrum Disorder: A Data Mining-Based Framework,2023,https://doi.org/10.1016/j.irbm.2023.100780,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Prescreening,stage_flags,Hybrid,SVM,,Usa historia parental/perinatal estructurada para modelar riesgo/causas; mezcla clustering y predicción sin algoritmo principal claro.
143,Biomarker prediction in autism spectrum disorder using a network-based approach,2023,https://doi.org/10.1186/S12920-023-01439-5,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Clustering (k-means / GMM / ...),Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
168,Stratification of Children with Autism Spectrum Disorder Through Fusion of Temporal Information in Eye-gaze Scan-Paths,2023,https://doi.org/10.1145/3539226,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Deep Learning,CNN,Needs full-text confirmation,Estratificación de niños con ASD usando trayectorias de eye-gaze; confirmar si el objetivo es subtipado vs clasificación.
173,Using machine learning to improve diagnostic assessment of ASD in the light of specific differential and co-occurring diagnoses,2023,https://doi.org/10.1111/JCPP.13650,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Diagnosis,stage_flags,Machine Learning,Random Forest,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
175,A machine learning approach for understanding the metabolomics response of children with autism spectrum disorder to medical cannabis treatment,2023,https://doi.org/10.1038/s41598-023-40073-0,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Monitoring/intervention,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
210,Prediction of Behavioral Improvement Through Resting-State Electroencephalography and Clinical Severity in a Randomized Controlled Trial Testing Bumetanide in Autism Spectrum Disorder,2023,https://doi.org/10.1016/j.bpsc.2021.08.009,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Monitoring/intervention,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
221,A hybrid Stacking-SMOTE model for optimizing the prediction of autistic genes,2023,https://doi.org/10.1186/S12859-023-05501-Y,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
226,Artificial intelligence and sensor-based autism spectrum disorder diagnosis using brain connectivity analysis,2023,https://doi.org/10.1016/j.compeleceng.2023.108720,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
234,Classification of\&#xa0;Facial Images to\&#xa0;Assist in\&#xa0;the\&#xa0;Diagnosis of\&#xa0;Autism Spectrum Disorder: A Study on\&#xa0;the\&#xa0;Effect of\&#xa0;Face Detection and\&#xa0;Landmark Identification Algorithms,2023,https://doi.org/10.1007/978-3-031-45389-2_18,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Not specified,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
251,Integrative analysis of long noncoding RNAs dysregulation and synapse-associated ceRNA regulatory axes in autism,2023,https://doi.org/10.1038/s41398-023-02662-5,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Machine Learning,SVM,,Análisis integrativo de lncRNA/ceRNA sin algoritmo de IA clínico principal claramente reportado.
277,Accurate corresponding fiber tract segmentation via FiberGeoMap learner with application to autism,2023,https://doi.org/10.1093/cercor/bhad125,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Deep Learning,Transformer,Outside codebook or forced mapping,Segmentación de tractos de difusión; algoritmo FiberGeoMap fuera del codebook.
280,Classification of autism based on short-term spontaneous hemodynamic fluctuations using an adaptive graph neural network,2023,https://doi.org/10.1016/j.jneumeth.2023.109901,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
282,DeepASDPred: a CNN-LSTM-based deep learning method for Autism spectrum disorders risk RNA identification,2023,https://doi.org/10.1186/s12859-023-05378-x,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Prescreening,stage_flags,Hybrid,CNN,Hybrid or fusion architecture,Predicción de RNAs de riesgo ASD con arquitectura CNN-LSTM; se marca prescreening/risk.
28,An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder,2024,https://doi.org/10.1016/j.health.2023.100293,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Machine Learning,SVM,Multiple models compared | Primary model chosen from comparisons,Compara varios clasificadores; ANN/MLP reporta mejor desempeño en dataset combinado.
36,Investigating multiclass autism spectrum disorder classification using machine learning techniques,2024,https://doi.org/10.1016/j.prime.2024.100602,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Machine Learning,Logistic Regression,Primary model chosen from comparisons,LR y SVM destacan; se selecciona LR como principal por mejor desempeño reportado en varios subconjuntos.
51,Bilinear Perceptual Fusion Algorithm Based on Brain Functional and Structural Data for ASD Diagnosis and Regions of Interest Identification,2024,https://doi.org/10.1007/s12539-024-00651-w,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Not specified,CNN,Outside codebook or forced mapping,Fusión multimodal de datos cerebrales estructurales/funcionales; arquitectura GCN fuera del codebook.
57,Evaluation and benchmarking of hybrid machine learning models for autism spectrum disorder diagnosis using a 2-tuple linguistic neutrosophic fuzzy sets-based decision-making model,2024,https://doi.org/10.1007/s00521-024-09905-6,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Diagnosis,stage_flags,Machine Learning,Decision Tree,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
69,Regional-Asymmetric Adaptive Graph Convolutional Neural Network for Diagnosis of Autism in Children with Resting-State EEG,2024,https://doi.org/10.1109/TNSRE.2023.3347134,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,CNN,Outside codebook or forced mapping,Red neuronal convolucional en grafos sobre EEG; arquitectura fuera del codebook.
78,An Automatic Framework for Detecting Autism Spectrum Disorder From EEG Signals Using TFD,2024,https://doi.org/10.1109/JSEN.2024.3362341,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,CNN,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
98,Self-supervised machine learning approach for autism detection in young children using MEG signals,2024,https://doi.org/10.1016/j.bspc.2024.106671,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Hybrid,Transformer,,SSL con wav2vec 2.0 para extraer embeddings MEG; clasificación final con ANN/SVM.
127,Fusion of transfer learning with nature-inspired dandelion algorithm for autism spectrum disorder detection and classification using facial features,2024,https://doi.org/10.1038/s41598-024-82299-6,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Screening | Diagnosis,stage_flags,Deep Learning,RNN/LSTM/GRU,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
177,Aided Diagnosis of\&#xa0;Autism Spectrum Disorder Based on\&#xa0;a\&#xa0;Mixed Neural Network Model,2024,https://doi.org/10.1007/978-981-99-8141-0_12,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,MLP,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
180,Biosignal comparison for autism assessment using machine learning models and virtual reality,2024,https://doi.org/10.1016/j.compbiomed.2024.108194,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Machine Learning,SVM,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
186,Decoding Autism: Uncovering patterns in brain connectivity through sparsity analysis with rs-fMRI data,2024,https://doi.org/10.1016/j.jneumeth.2024.110100,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,CNN,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
189,Early identification of autism spectrum disorder based on machine learning with eye-tracking data,2024,https://doi.org/10.1016/j.jad.2024.04.049,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Screening,stage_flags,Hybrid,Random Forest,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
202,Model selection to achieve reproducible associations between resting state EEG features and autism,2024,https://doi.org/10.1038/s41598-024-76659-5,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
205,Off-Body Sleep Analysis for Predicting Adverse Behavior in Individuals With Autism Spectrum Disorder,2024,https://doi.org/10.1109/JBHI.2024.3455942,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Prognosis | Monitoring/intervention,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
209,Predicting individual autistic symptoms for patients with autism spectrum disorder using interregional morphological connectivity,2024,https://doi.org/10.1016/j.pscychresns.2024.111822,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Multimodal,Prognosis | Monitoring/intervention,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
253,Interpersonal Motor Coordination in Children with Autism and the Establishment of Machine Learning Models to Objectively Classify Children with Autism and Typical Development,2024,https://doi.org/10.1016/j.irbm.2024.100838,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
260,Multi-atlas Representations Based on\&#xa0;Graph Convolutional Networks for\&#xa0;Autism Spectrum Disorder Diagnosis,2024,https://doi.org/10.1007/978-981-99-8558-6_38,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
300,Application of Speech Signal for Early Screening of Children with Autism Spectrum Disorder,2024,https://doi.org/10.1007/978-3-031-62273-1_36,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Not specified,Other / unclear,Needs full-text confirmation,Abstract faltante; se codifica solo por el título y requiere verificación en full-text.
27,An analytics-driven model for identifying autism spectrum disorder using eye tracking,2025,https://doi.org/10.1016/j.health.2025.100409,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Deep Learning,MLP,Algorithm not explicit or unspecified,Usa eye-tracking/gaze movement; algoritmo principal no explícito.
63,Improving fMRI-Based Autism Severity Identification via Brain Network Distance and Adaptive Label Distribution Learning,2025,https://doi.org/10.1109/TNSRE.2024.3516216,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Diagnosis,stage_flags,Machine Learning,MLP,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
92,Learning discriminative functional connectivity networks for identifying Autism spectrum disorder,2025,https://doi.org/10.1016/j.bspc.2024.107466,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
100,Sex Differences in Functional Gradients and Dynamic Functional Connectivity in Preschool-Aged Children With ASD,2025,https://doi.org/10.1111/cns.70562,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified,Se aplican múltiples modelos ML a características de conectividad/gradientes; algoritmo principal no especificado.
115,Electromagnetic Interaction Algorithm (EIA)-Based Feature Selection With Adaptive Kernel Attention Network (AKAttNet) for Autism Spectrum Disorder Classification,2025,https://doi.org/10.1002/jdn.70034,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Screening | Diagnosis,stage_flags,Hybrid,CNN,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping | Multiple models compared | Primary model chosen from comparisons,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado
120,Screening autism spectrum disorder in children using machine learning on speech transcripts,2025,https://doi.org/10.1038/s41598-025-01500-6,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Screening,stage_flags,Machine Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
130,Large-scale examination of early-age sex differences in neurotypical toddlers and those with autism spectrum disorder or other developmental conditions,2025,https://doi.org/10.1038/s41562-025-02132-6,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Text / NLP,Diagnosis,stage_flags,Deep Learning,Clustering (k-means / GMM / ...),,Examen de diferencias por sexo/edad; no queda claro el algoritmo o la tarea principal de IA.
139,Assessing the Efficacy of Deep Learning Algorithms for Behavioral and Neurological Markers in Autism Diagnosis in Children,2025,https://doi.org/10.1007/978-981-96-6297-5_20,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,CNN,,El abstract no deja claro si es evaluación empírica o revisión de marcadores conductuales/neurológicos.
142,AV-FOS: Transformer-Based Audio-Visual Multimodal Interaction Style Recognition for Children With Autism Using the Revised Family Observation Schedule 3rd Edition (FOS-R-III),2025,https://doi.org/10.1109/JBHI.2025.3542066,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Monitoring/intervention,stage_flags,Deep Learning,Transformer,,Reconocimiento de estilo de interacción audio-visual en FOS-R-III; etapa clínica exacta requiere confirmación.
147,DALNN: Dual Attention Learning Neural Network for Diagnosis of Autism Spectrum Disorders and Exploration of Lesion Brain Regions,2025,https://doi.org/10.1109/TCSS.2025.3593119,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Multimodal,Diagnosis,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
161,Leveraging artificial intelligence for diagnosis of children autism through facial expressions,2025,https://doi.org/10.1038/s41598-025-96014-6,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Image,Screening,stage_flags,Deep Learning,Other / unclear,,Diagnóstico por expresiones faciales; abstract no especifica claramente una arquitectura del codebook.
198,Identification of autism spectrum disorder using deep neural network,2025,https://doi.org/10.1088/1742-6596/1921/1/012006/META,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Other / unclear,,Parece revisión de métodos/diagnósticos digitales más que estudio empírico primario.
201,Machine Learning–Based Approach for Early Screening of Autism Spectrum Disorders,2025,https://doi.org/10.1155/ACIS/9975499,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Machine Learning,SVM,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
236,Correlations between blood group and Rh factor in families and autism spectrum disorder: A comprehensive analysis,2025,https://doi.org/10.1038/s41598-025-97313-8,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Prescreening,stage_flags,Machine Learning,Logistic Regression,,Análisis de grupos sanguíneos con regresión logística/ML no claramente central para una etapa clínica RQ1.
255,LSTA-CNN: A Lightweight Spatiotemporal Attention-Based Convolutional Neural Network for ASD Diagnosis Using EEG,2025,https://doi.org/10.1109/TNSRE.2025.3580593,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,CNN,Multiple models compared | Primary model chosen from comparisons,Se comparan varios modelos; se eligió el principal/mejor reportado
258,MDNCT: a multi-domain neurocognitive transformer architecture approach for early prediction of autism spectrum disorders,2025,https://doi.org/10.1038/s41598-025-09862-7,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Physiological signals,Screening,stage_flags,Deep Learning,Other / unclear,,Arquitectura transformer multi-domain para predicción temprana; fuente de datos específica no es explícita en el abstract.
266,Prenatal exposure to criteria air pollution and traffic-related air toxics and risk of autism spectrum disorder: A population-based cohort study of California births (1990–2018),2025,https://doi.org/10.1016/j.envint.2025.109562,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Prescreening,stage_flags,Machine Learning,Logistic Regression,Algorithm not explicit or unspecified | Needs full-text confirmation | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text
271,Stakeholder perception towards a machine-learning-based digital platform for detection and management of autism spectrum disorder,2025,https://doi.org/10.1111/EXSY.13545,Revisor A,aceptados_300_v2_codificado_RA.xlsx,Not specified,Monitoring/intervention,stage_flags,Deep Learning,Other / unclear,Algorithm not explicit or unspecified | Outside codebook or forced mapping,Algoritmo principal no explícito o fuera del codebook; Resumen sugiere revisión/comentario/sistema no claramente empírico
20,Testing the accuracy of an observation-based classifier for rapid detection of autism risk.,2014,https://doi.org/10.1038/tp.2014.65,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis,stage_flags,Deep Learning,Decision Tree,Outside codebook or forced mapping,Algorithm specifically is Alternating Decision Tree (ADTree) (not a standard single CART/ID3); mapped to Decision Tree due to allowed categories
157,Functional connectivity classification of autism identifies highly predictive brain features but falls short of biomarker standards,2015,https://doi.org/10.1016/j.nicl.2014.12.013,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Diagnosis,stage_flags,Deep Learning,Logistic Regression,Multiple models compared,"comparan múltiples algoritmos (RF, KNN, SVM, varias regresiones logísticas, etc.), pero para “main” aquí lo más defendible es Logistic Regression (L2LR) por desempeño consistente."
257,Maternal thyroid autoantibody and elevated risk of autism in a national birth cohort,2015,https://doi.org/10.1016/j.pnpbp.2014.10.010,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Prognosis,stage_primary_fallback,Machine Learning,Logistic Regression,,"Este paper es epidemiología/biomarcador (asociación y estimación de riesgo), no un sistema de IA clínica “operativo”. Si tu revisión separa ML “aplicado” vs estadística epidemiológica, anótalo."
119,Ensemble statistical and subspace clustering model for analysis of autism spectrum disorder phenotypes,2016,https://doi.org/10.1109/EMBC.2016.7591440,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis,stage_flags,Machine Learning,Clustering (k-means / GMM / ...),,Estudio de subtipificación/heterogeneidad en una cohorte ASD ya confirmada (SSC; ADI-R/ADOS); no clasifica ASD vs control como endpoint principal
145,Clinical Evaluation of a Novel and Mobile Autism Risk Assessment,2016,https://doi.org/10.1007/s10803-016-2718-4,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Deep Learning,Decision Tree,,Alternating Decision Tree (ADTree)” es una variante de árbol de decisión; por eso cae naturalmente en Decision Tree
6,Sparsifying machine learning models identify stable subsets of predictive features for behavioral detection of autism,2017,https://doi.org/10.1186/s13229-017-0180-6,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Diagnosis | Prognosis | Monitoring/intervention,stage_flags,Machine Learning,Logistic Regression,Multiple models compared,Comparative study (17 supervised models); sparse/regularized; interpretable candidates include Logistic Regression (L2) and Linear SVM (L1).
68,Perceived social support in adults with autism spectrum disorder and attention-deficit/hyperactivity disorder,2017,https://doi.org/10.1002/AUR.1735,Revisor B,aceptados_300_codificado_RB.xlsx,Text / NLP,Diagnosis,stage_flags,Machine Learning,Random Forest,,ste paper no es diagnóstico ASD vs control; usa ML para modelar/predicir un puntaje de apoyo social percibido (MSPSS-f) en grupos ASD/ADHD/controles.
89,Feasibility Testing of a Wearable Behavioral Aid for Social Learning in Children with Autism,2018,https://doi.org/10.1055/s-0038-1626727,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Monitoring/intervention,stage_primary_fallback,Machine Learning,Logistic Regression,,"Clasificación ASD vs NC usando matrices de confusión de reconocimiento de emociones; el sistema (Google Glass) da ‘emotion labeling’, pero el clasificador principal para inferir ASD/NC es logistic regression"
103,Using machine learning to identify patterns of lifetime health problems in decedents with autism spectrum disorder,2018,https://doi.org/10.1002/AUR.1960,Revisor B,aceptados_300_codificado_RB.xlsx,Multimodal,Monitoring/intervention,stage_primary_fallback,Deep Learning,Random Forest,,"la clasificación se hace a partir de códigos ICD-9/V/E de EHR en decedentes, para distinguir patrones de salud de por vida (no es biomarcador directo ni herramienta clínica prospectiva)."
105,A Novel Deep Learning Approach for Recognizing Stereotypical Motor Movements within and across Subjects on the Autism Spectrum Disorder,2018,https://doi.org/10.1155/2018/7186762,Revisor B,aceptados_300_codificado_RB.xlsx,Physiological signals,Prognosis,stage_flags,Hybrid,Random Forest,,"para el escenario across-subjects combinan transfer learning + SVM classifier. Si tu Excel solo permite un algoritmo principal, deja CNN como principal y anota “SVM + transfer learning para across-subject”"
295,Prediction of Autism at 3 Years from Behavioural and Developmental Measures in High-Risk Infants: A Longitudinal Cross-Domain Classifier Analysis,2018,https://doi.org/10.1007/s10803-018-3509-x,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Prognosis,stage_primary_fallback,Machine Learning,SVM,,"No es “ASD vs control poblacional”, sino predicción dentro del grupo de alto riesgo: “Low-risk controls were excluded… our main aim… predicting ASD outcome among HR siblings.”"
9,An automated assessment framework for atypical prosody and stereotyped idiosyncratic phrases related to autism spectrum disorder,2019,https://doi.org/10.1016/j.csl.2018.11.002,Revisor B,aceptados_300_codificado_RB.xlsx,Audio / Voice,Diagnosis,stage_flags,Hybrid,CNN,Hybrid or fusion architecture,"“End-to-end models: CNN, RNN(BLSTM), CNN+RNN(GRU/LSTM) on spectrograms; baseline OpenSMILE+linear SVM; text task uses linear SVM with n-gram/dep-treebank/TF-IDF/LIWC; score-level fusion."
12,Effect of Wearable Digital Intervention for Improving Socialization in Children with Autism Spectrum Disorder: A Randomized Clinical Trial,2019,https://doi.org/10.1001/jamapediatrics.2019.0285,Revisor B,aceptados_300_codificado_RB.xlsx,Multimodal,Monitoring/intervention,stage_flags,Not specified,Other / unclear,Algorithm not explicit or unspecified,Wearable AI-driven behavioral intervention (‘Superpower Glass’) that detects facial expressions and provides cues for emotion recognition during home sessions; clinical RCT; AI model family not specified in paper text.
96,Polychlorinated biphenyls influence on autism spectrum disorder risk in the MARBLES cohort,2019,https://doi.org/10.1016/j.envres.2018.12.061,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis,stage_flags,Hybrid,Logistic Regression,,Epidemiologic multinomial logistic regression (not ML/AI). Outcome categories ASD / Non-TD / TD at 3 years
125,Diagnosis of Autism Spectrum Disorders in Young Children Based on Resting-State Functional Magnetic Resonance Imaging Data Using Convolutional Neural Networks,2019,https://doi.org/10.1007/s10278-019-00196-1,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Diagnosis,stage_flags,Deep Learning,CNN,,"demás de CNN, reporta transfer learning y combinación de clasificadores (mixture of experts / simple Bayes), pero el núcleo es CNN para clasificar ASD vs no-ASD con rs-fMRI (ABIDE)."
190,"Examining overlap and homogeneity in ASD, ADHD, and OCD: a data-driven, diagnosis-agnostic approach",2019,https://doi.org/10.1038/s41398-019-0631-2,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Diagnosis,stage_flags,Deep Learning,Clustering (k-means / GMM / ...),,Bagged-multiview clustering (bagging + spectral clustering)
284,Exploration of Autism Spectrum Disorder using Classification Algorithms,2019,https://doi.org/10.1016/j.procs.2020.01.098,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Screening | Prognosis,stage_flags,Hybrid,SVM,Multiple models compared | Primary model chosen from comparisons,"Es un paper comparativo (Naive Bayes, Decision Table, SVM). Aunque SVM es “best” según su texto, también reportan desempeño perfecto para otro método en su tabla; si tu Excel exige un solo “main”, SVM es defendible solo con esa frase de “best”"
30,Analysis and Detection of Autism Spectrum Disorder Using Machine Learning Techniques,2020,https://doi.org/10.1016/j.procs.2020.03.399,Revisor B,aceptados_300_codificado_RB.xlsx,Not specified,Screening | Diagnosis,stage_flags,Hybrid,CNN,Multiple models compared | Primary model chosen from comparisons,"Comparan varios algoritmos (Naive Bayes, SVM, LR, KNN, NN y CNN); para tu columna AI_algorithm_main conviene poner CNN porque es el que señalan como mejor globalmente"
97,Predicting Core Characteristics of ASD Through Facial Emotion Recognition and Eye Tracking in Youth.,2020,https://doi.org/10.1109/EMBC44109.2020.9176843,Revisor B,aceptados_300_codificado_RB.xlsx,Image,Monitoring/intervention,stage_flags,Machine Learning,Random Forest,,"aunque el paper comenta que el enfoque “may serve as a classifier for ASD diagnosis” y muestra ROC para clasificación, el pipeline principal reportado es regresión de puntajes; por eso conviene codificarlo como Regression"
